grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.147081465Z level=info msg="Executing migration" id="create org table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.147565147Z level=info msg="Migration successfully executed" id="create org table v1" duration=483.653µs
grafana  | logger=migrator t=2025-01-06T19:38:07.149737354Z level=info msg="Executing migration" id="create index UQE_org_name - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.15029828Z level=info msg="Migration successfully executed" id="create index UQE_org_name - v1" duration=563.519µs
grafana  | logger=migrator t=2025-01-06T19:38:07.152330253Z level=info msg="Executing migration" id="create org_user table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.152708913Z level=info msg="Migration successfully executed" id="create org_user table v1" duration=378.842µs
grafana  | logger=migrator t=2025-01-06T19:38:07.15484249Z level=info msg="Executing migration" id="create index IDX_org_user_org_id - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.155206167Z level=info msg="Migration successfully executed" id="create index IDX_org_user_org_id - v1" duration=363.465µs
grafana  | logger=migrator t=2025-01-06T19:38:07.157224383Z level=info msg="Executing migration" id="create index UQE_org_user_org_id_user_id - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.15760235Z level=info msg="Migration successfully executed" id="create index UQE_org_user_org_id_user_id - v1" duration=377.71µs
grafana  | logger=migrator t=2025-01-06T19:38:07.159871899Z level=info msg="Executing migration" id="create index IDX_org_user_user_id - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.160242909Z level=info msg="Migration successfully executed" id="create index IDX_org_user_user_id - v1" duration=370.991µs
grafana  | logger=migrator t=2025-01-06T19:38:07.162554146Z level=info msg="Executing migration" id="Update org table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.162580942Z level=info msg="Migration successfully executed" id="Update org table charset" duration=27.454µs
grafana  | logger=migrator t=2025-01-06T19:38:07.164585115Z level=info msg="Executing migration" id="Update org_user table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.164608898Z level=info msg="Migration successfully executed" id="Update org_user table charset" duration=22.472µs
grafana  | logger=migrator t=2025-01-06T19:38:07.168150659Z level=info msg="Executing migration" id="Migrate all Read Only Viewers to Viewers"
grafana  | logger=migrator t=2025-01-06T19:38:07.168283452Z level=info msg="Migration successfully executed" id="Migrate all Read Only Viewers to Viewers" duration=133.013µs
grafana  | logger=migrator t=2025-01-06T19:38:07.170341407Z level=info msg="Executing migration" id="create dashboard table"
grafana  | logger=migrator t=2025-01-06T19:38:07.170800223Z level=info msg="Migration successfully executed" id="create dashboard table" duration=458.703µs
grafana  | logger=migrator t=2025-01-06T19:38:07.173950485Z level=info msg="Executing migration" id="add index dashboard.account_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.174354103Z level=info msg="Migration successfully executed" id="add index dashboard.account_id" duration=403.451µs
grafana  | logger=migrator t=2025-01-06T19:38:07.17652444Z level=info msg="Executing migration" id="add unique index dashboard_account_id_slug"
grafana  | logger=migrator t=2025-01-06T19:38:07.176934811Z level=info msg="Migration successfully executed" id="add unique index dashboard_account_id_slug" duration=411.234µs
grafana  | logger=migrator t=2025-01-06T19:38:07.179248353Z level=info msg="Executing migration" id="create dashboard_tag table"
